,ionIdx,ionMz,ionActive,ionAverageInt,ionQualTIC,Top_annotation_name,Top_annotation_ids,Top_annotation_formula,Top_annotation_ion,Top_annotation_score
0,1,59.01378387535012,1,68292.60482411474,0.95855796,Acetatic_acid,C00033; C00266,C2H4O2,-H(-),100
1,2,70.02956224623999,1,2673.4719031696773,0.744155645,Acrylamide,C01659,C3H5NO,-H(-),100
2,3,71.01395918283296,1,64630.82936851065,0.82090655,Propenoic_acid_C3_1,C00511; C00546,C3H4O2,-H(-),100
3,4,74.02475676983998,1,7229.15899338243,0.82947275,Glycine,C00037,C2H5NO2,-H(-),100
4,5,75.00873116470683,1,3424.977006112206,0.0612449385,Glycolate,C00160,C2H4O3,-H(-),100
5,6,85.02950781715649,1,81100.85505491211,0.841842505,Succinic_aldehyde,C00741,C4H6O2,-H(-),100
6,7,87.00871299057543,1,53040.56353563702,0.49746187,Pyruvate,C00022; C00222,C3H4O3,-H(-),100
7,8,88.04041990258327,1,18555.888028304034,0.94253236,Alanine,C00041; C00099; C01401,C3H7NO2,-H(-),100
8,9,89.02453520998326,1,99139.6844470238,0.96974683,Lactate,C00184; C00186; C00256; C00577; C01013,C3H6O3,-H(-),100
9,10,95.0140404647349,1,25623.96735687312,0.35643288,Furfural,C07090,C5H4O2,-H(-),100
10,11,101.02454685592268,1,204408.92729900856,-0.464077295,Oxobutanoic_acid,C00109; C00232; C06002,C4H6O3,-H(-),100
11,12,102.05600721755091,1,270157.88933044224,0.9856860949999999,Aminobutanoic_acid_ABA_,C00334; C02356; C03284,C4H9NO2,-H(-),100
12,13,103.04006852590014,1,10020.243059293944,0.51295888,Hydroxybutanoic_acid,C06001,C4H8O3,-H(-),100
13,14,104.03514922640716,1,6498.827192077516,0.8798016,Serine,C00065; C00740,C3H7NO3,-H(-),100
14,15,105.01899655723587,1,4968.298257780414,0.54581875,D_Glyceric_acid,C00258,C3H6O4,-H(-),100
15,16,109.04040161341646,1,84352.0640361815,0.93853816,N_Acetylimidazole,C05130,C5H6N2O,-H(-),100
16,17,111.02001175313154,1,272946.424238621,0.94099736,Uracil,C00106,C4H4N2O2,-H(-),100
17,18,112.04005401420096,1,6706.283110431349,-0.023069067,Pyrroline_carboxylic_acid,C03912,C5H7NO2,-H(-),100
18,19,113.02456569469265,1,475033.84442045883,0.95826787,2_Hydroxy_2_4_pentadienoic_acid,C07091,C5H6O3,-H(-),100
19,20,113.03546232911972,1,195517.45974740176,0.98349491,Dihydrouracil,C02512; C02565,C4H6N2O2,-H(-),100
20,21,114.05583596797719,1,53852.96206490507,0.92988929,Proline,C00148; C18170,C5H9NO2,-H(-),100
21,22,115.00359516251432,1,49029.63614663152,0.8791477050000001,Fumarate,C00122,C4H4O4,-H(-),100
22,23,115.04025116984789,1,103427.58518758442,0.8829869050000001,Ketovaline,C00141; C03273,C5H8O3,-H(-),100
23,24,116.03635259822673,1,7632.647463580707,0.55404556,Aspartate_semialdehyde,C00441; C03508,C4H7NO3,-H(-),94
24,25,116.07170672230053,1,608968.9169957157,0.977757545,Valine_Betaine,C00183,C5H11NO2,-H(-),100
25,26,117.01947512334372,1,27900.656344524577,0.810784875,Succinate,C00042; C02170,C4H6O4,-H(-),100
26,27,118.05083076449966,1,53982.92347039147,0.97295529,Threonine,C00188; C00263; C05519,C4H9NO3,-H(-),100
27,28,118.98038123227978,1,15203.460802182562,0.72956234,Mercaptopyruvic_acid,C00957,C3H4O3S,-H(-),100
28,29,119.01753410991681,1,4209.209131058544,0.80840385,3_Methylthio_propionic_acid,C08276,C4H8O2S,-H(-),100
29,30,119.05008880623332,1,30526.220457857617,0.909076305,Phenylacetaldehyde,C00601; C05627,C8H8O,-H(-),100
30,31,121.02964800671964,1,27915.09962040372,-0.0237215535,Benzoate,C00180,C7H6O2,-H(-),100
31,32,121.03985032457128,1,7690.655329660753,-0.015405206000000001,Nicotinamide,C00153,C6H6N2O,-H(-),100
32,33,127.05105240298133,1,403390.0113484806,0.98344284,Dihydrothymine,C05715,C5H8N2O2,-H(-),100
33,34,129.01924742862093,1,96707.24584925303,0.42902978,Itaconate,C00433,C5H6O4,-H(-),100
34,35,130.0514502333466,1,16768.55363382206,0.867380205,5_Aminolevulinic_acid,C00430; C01157; C01165,C5H9NO3,-H(-),100
35,36,130.08735322123775,1,498699.9402822229,0.982539805,_Iso_Leucine,C00123; C00407,C6H13NO2,-H(-),100
36,37,130.99918968791684,1,5014.9617306947775,-0.046070493500000004,Oxaloacetic_acid,C00036,C4H4O5,-H(-),100
37,38,131.04625871059898,1,59296.192762823426,0.96720111,Asparagine,C00152,C4H8N2O3,-H(-),100
38,39,131.0824797932214,1,1266629.7918805769,-0.21029957500000002,Ornithine,C00077,C5H12N2O2,-H(-),100
39,40,132.03013697292207,1,541894.6117594831,0.98844993,Aspartate,C00049,C4H7NO4,-H(-),100
40,41,133.01404628113517,1,84124.19702771521,0.278836665,Malate,C00149,C4H6O5,-H(-),100
41,42,133.0506509732129,1,201261.78905999474,0.96432853,Deoxyribose,C01801; C04039; C04272,C5H10O4,-H(-),100
42,43,135.031537268713,1,39273.12480960494,0.92295301,Hypoxanthine,C00262,C5H4N4O,-H(-),100
43,44,135.04499214925693,1,49692.51263767454,0.943942185,Phenyl_acetate,C06224; C07086,C8H8O2,-H(-),100
44,45,144.06628994878457,1,8767.947930230457,0.69786647,4_Acetamidobutanoate,C02946; C04076,C6H11NO3,-H(-),100
45,46,145.0147662798219,1,31248.250363977575,0.77331161,Oxoglutarate,C00026; C06316,C5H6O5,-H(-),100
46,47,145.05132260910318,1,327800.01075926126,0.51565909,2_Dehydropantoate,C00966; C06006; C14463,C6H10O4,-H(-),100
47,48,145.06179893657202,1,2586366.27161454,0.9853399949999999,Glutamine,C00064,C5H10N2O3,-H(-),100
48,49,145.09777302751803,1,135608.8492758326,0.71365809,Lysine,C00047,C6H14N2O2,-H(-),100
49,50,146.0459916983235,1,1614769.6283611236,0.98856646,Glutamate,C00025; C00302; C00979; C05938,C5H9NO4,-H(-),100
50,51,147.02984612051927,1,235369.36842203583,0.48260514499999996,Hydroxyglutarate,C00652; C01087; C06032,C5H8O5,-H(-),100
51,52,147.06657910989924,1,98544.74265263352,0.97405651,Mevalonate,C00418; C00522; C06007,C6H12O4,-H(-),100
52,53,148.04386834221046,1,15539.33267038419,0.85646677,Methionine,C00073,C5H11NO2S,-H(-),100
53,54,149.04511155946702,1,11185.647203619435,0.87920284,Pentose,C00121; C00181; C00216; C00310,C5H10O5,-H(-),100
54,55,149.0967795440976,1,2959.7691168505635,0.19125015,Perillyl_aldehyde,C02576,C10H14O,-H(-),100
55,56,150.04312378018864,1,4720.784067578489,0.67829669,Guanine,C00242,C5H5N5O,-H(-),100
56,57,151.02592824866522,1,17672.457450568396,0.94485408,Xanthine,C00385,C5H4N4O2,-H(-),100
57,58,151.06080761834204,1,5743.393023129372,0.73652267,Xylitol,C00379,C5H12O5,-H(-),100
58,59,152.03513695408557,1,61712.3286241548,0.91464788,3_Hydroxyanthranilate,C00632,C7H7NO3,-H(-),100
59,60,154.06183037626525,1,477560.5881131352,0.7713711249999999,Histidine,C00135,C6H9N3O2,-H(-),100
60,61,155.0099379416008,1,46892.532967192084,0.93133831,Orotate,C00295,C5H4N2O4,-H(-),100
61,62,157.01483763377192,1,19782.24043290495,-0.0011351056,2_Maleylacetate,C02222,C6H6O5,-H(-),100
62,63,157.02571710108296,1,75661.63626130302,0.96260536,Dihydroorotate,C00337,C5H6N2O4,-H(-),100
63,64,157.03711471126172,1,26965.80506130005,0.93844777,Allantoin,C02350,C4H6N4O3,-H(-),100
64,65,157.0502978716251,1,156558.91910279426,0.949391605,Isopropylmaleate,C02631,C7H10O4,-H(-),100
65,66,160.06115625883146,1,30910.465505016902,0.95128506,Aminoadipate,C00956; C01077,C6H11NO4,-H(-),100
66,67,163.0396675109769,1,17512.344634092613,0.78194237,Coumarate,C00166; C00811,C9H8O3,-H(-),100
67,68,164.07131918222228,1,220692.12350114877,0.977568565,Phenylalanine,C00079; C02265,C9H11NO2,-H(-),100
68,69,166.97514512495326,1,4680.147394987101,0.61658049,Phosphoenolpyruvate,C00074,C3H5O6P,-H(-),100
69,70,168.06623944097842,1,23579.400823595028,0.80826449,Pyridoxine,C00314,C8H11NO3,-H(-),100
70,71,169.04952990116044,1,4311.659817572403,0.34398195,3_4_Dihydroxyphenylethyleneglycol,C05576,C8H10O4,-H(-),86
71,72,171.00680248704833,1,15876.130966235034,0.93016812,sn_Glycerol_3_phosphate,C00093,C3H9O6P,-H(-),100
72,73,171.02933749197945,1,7273.350626224317,0.7971164,3_Dehydroshikimate,C02637,C7H8O5,-H(-),100
73,74,172.06142294705722,1,8158.569559882532,0.815470485,Acetyl_Glu_semialdehyde,C01250,C7H11NO4,-H(-),100
74,75,173.00885150026846,1,45365.94191131109,-0.18494399,Aconitate,C00417,C6H6O6,-H(-),100
75,76,173.04660158202225,1,19323.18053032104,0.49653271,Shikimate,C00493; C04236,C7H10O5,-H(-),91
76,77,173.10416556941124,1,2585791.88493071,-0.32249741499999995,Arginine,C00062,C6H14N4O2,-H(-),96
77,78,175.02556909755836,1,64483.16624879689,-0.17723839,Hexuronic_acid_Ascorbate,C02670,C6H8O6,-H(-),100
78,79,175.06081308464329,1,2584917.494169678,0.912865665,3_Propylmalate,C02504; C04411,C7H12O5,-H(-),99
79,80,179.03537451302117,1,43090.51014281693,0.91289383,3_4_Hydroxyphenyl_pyruvate,C01179; C01197,C9H8O4,-H(-),100
80,81,179.05605822915558,1,450949.20655566576,0.977486435,Hexose,C00031; C00095; C00124; C00137; C00159; C00221; C00267; C00984; C02336,C6H12O6,-H(-),100
81,82,180.06631138237782,1,262730.1555621105,0.93913272,Tyrosine,C00082,C9H11NO3,-H(-),100
82,83,182.96977659823372,1,6616.082202245237,0.83688068,3_Phosphonooxypyruvate,C03232,C3H5O7P,-H(-),100
83,84,183.06585272936883,1,4691.363260779291,0.11198592,Choline_P,C00588,C5H15NO4P,-H(-),100
84,85,184.00157073088974,1,155630.41750950483,0.91216397,Phosphoserine,C01005,C3H8NO6P,-H(-),100
85,86,184.98484731980304,1,30951.78026829328,0.68797708,Phosphoglycerate,C00197; C00631,C3H7O7P,-H(-),100
86,87,186.11300758861492,1,2547.3812853724103,0.5325681,8_Amino_7_oxononanoate,C01092,C9H17NO3,-H(-),100
87,88,187.0248429644441,1,138239.66647518054,0.35232103,_Z_But_1_ene_1_2_4_tricarboxylate,C04002; C04225,C7H8O6,-H(-),100
